date,ppm
3/29/58,316.19
4/5/58,317.31
4/12/58,317.69
4/19/58,317.58
4/26/58,316.48
5/3/58,316.95
5/17/58,317.56
5/24/58,317.99
7/5/58,315.85
7/12/58,315.85
7/19/58,315.46
7/26/58,315.59
8/2/58,315.64
8/9/58,315.1
8/16/58,315.09
8/30/58,314.14
9/6/58,313.54
11/8/58,313.05
11/15/58,313.26
11/22/58,313.57
11/29/58,314.01
12/6/58,314.56
12/13/58,314.41
12/20/58,314.77
12/27/58,315.21
1/3/59,315.24
1/10/59,315.5
1/17/59,315.69
1/24/59,315.86
1/31/59,315.42
2/14/59,316.94
2/21/59,316.61
2/28/59,316.62
3/7/59,316.81
3/21/59,316.73
3/28/59,316.71
4/4/59,317.72
4/11/59,317.12
4/18/59,317.64
4/25/59,318.32
5/2/59,318.27
5/9/59,318.78
5/16/59,318.05
5/23/59,318.43
6/6/59,318.53
6/13/59,318.14
6/20/59,317.88
6/27/59,317.76
7/4/59,316.86
7/11/59,316.83
7/18/59,316.45
7/25/59,316.16
8/1/59,315.62
8/8/59,314.91
8/22/59,315
8/29/59,314.15
9/5/59,314.45
9/12/59,313.93
9/19/59,313.57
9/26/59,313.54
10/3/59,313.04
10/10/59,313.15
10/17/59,313.43
10/24/59,313.46
10/31/59,314.12
11/7/59,314.42
11/14/59,314.88
11/21/59,315.2
11/28/59,315.11
12/5/59,315.06
12/12/59,315.64
12/19/59,315.86
12/26/59,315.77
1/2/60,315.72
1/9/60,316.4
1/16/60,316.73
1/23/60,316.57
1/30/60,316.68
2/6/60,316.61
2/13/60,316.98
2/20/60,317.42
2/27/60,317
3/5/60,316.96
3/12/60,317.76
3/19/60,318.07
3/26/60,317.77
4/2/60,318.61
4/9/60,319.34
4/16/60,319.01
4/23/60,319.03
4/30/60,319.77
5/7/60,319.96
5/14/60,319.82
5/21/60,320.04
5/28/60,320.06
6/4/60,319.46
6/11/60,320.08
6/18/60,319.42
6/25/60,319.09
7/2/60,318.18
7/9/60,318.64
7/16/60,318.41
7/23/60,317.91
7/30/60,317.33
8/6/60,316.62
8/13/60,316.7
8/20/60,315.1
8/27/60,314.78
9/3/60,314.72
9/10/60,314.58
9/17/60,314.28
9/24/60,313.33
10/1/60,313.66
10/8/60,313.32
10/15/60,313.92
10/22/60,314.21
10/29/60,314.29
11/5/60,314.5
11/12/60,315.1
11/19/60,315.1
11/26/60,315.41
12/3/60,315.84
12/10/60,316.07
12/17/60,316.21
12/24/60,316.4
12/31/60,316.67
1/7/61,316.73
1/14/61,317.02
1/21/61,317.03
1/28/61,317.01
2/4/61,317.06
2/11/61,317.75
2/18/61,317.94
2/25/61,318
3/4/61,318.04
3/11/61,318.51
3/18/61,318.92
3/25/61,318.71
4/1/61,319.41
4/8/61,319.55
4/15/61,318.9
4/22/61,319.74
4/29/61,319.67
5/6/61,320.67
5/13/61,320.46
5/20/61,320.61
5/27/61,320.36
6/3/61,320.09
6/10/61,320.02
6/17/61,319.62
6/24/61,319.49
7/1/61,319.26
7/8/61,319.07
7/15/61,318.49
7/22/61,317.16
7/29/61,317.97
8/5/61,317.91
8/12/61,317.33
8/19/61,316.76
8/26/61,315.26
9/2/61,315.28
9/9/61,314.97
